"sido","sigun","dong","구주소본번","구주소부번","street","새주소본번","새주소부번","건물명","상세건물명","X좌표","Y좌표"
"서울특별시","중랑구","묵동","171","15","숙선옹주로","18","12","JCUBE 제이큐브"," ","206923.925","457196.443"
"서울특별시","중랑구","중화동","98","2","봉화산로","79","9","","","207332.3082","455847.4484"
"서울특별시","중랑구","중화동","311","19","봉화산로","25","0","","","206811.1421","455794.2903"
"서울특별시","중랑구","상봉동","85","29","봉우재로","159","8","","","208010.4061","454946.9368"
"서울특별시","중랑구","망우동","420","39","용마공원로","51","0","건양스위트홈"," ","209043.9604","454658.7727"
"서울특별시","중랑구","망우동","409","4","용마공원로","14","0","","","208914.688","454991.0811"
"서울특별시","중랑구","망우동","232","4","양원역로","25","9","대영빌라트","","209464.9637","455949.2302"
"서울특별시","중랑구","묵동","10","5","숙선옹주로","113","0","","","207680.0884","457617.1389"
"서울특별시","중랑구","묵동","163","26","숙선옹주로","9","3","","","206924.5609","457349.5444"
"서울특별시","중랑구","면목동","89","7","상봉로","89","0","진현빌딩","","208213.7299","454919.3053"
"서울특별시","중랑구","신내동","393","18","봉화산로","233","9","남양아트빌","제1동","208713.0323","456549.7681"
"서울특별시","중랑구","상봉동","485","0","봉화산로","123","0","신내테크노타운","","207752.0738","456054.3305"
"서울특별시","중랑구","중화동","115","2","봉화산로","77","0","범용카센터","","207328.362","455834.5285"
"서울특별시","중랑구","묵동","240","144","동일로157길","50","0","","","206619.5992","456683.4099"
"서울특별시","중랑구","상봉동","86","27","상봉로23길","36","0","","","208049.6551","454985.0471"
"서울특별시","중랑구","망우동","435","43","용마산로100길","43","7"," "," ","208885.1647","454643.8074"
"서울특별시","중랑구","신내동","487","0","용마산로129나길","101","0","라이프미성아파트","","208725.0736","455968.54"
"서울특별시","중랑구","망우동","343","37","용마산로120길","37","7","","","209075.5483","455816.8719"
"서울특별시","중랑구","망우동","342","60","용마산로118길","55","0","금란교회제2교육관","","209163.5788","455735.808"
"서울특별시","중랑구","망우동","491","30","용마산로115길","77","14","","","208477.5203","455376.7858"
